,x,y,z,w,ra,dec,redshift,dist
0,41.8,-13.87,16.68,34.523,0.007,47.2745,,47.09394
1,27.98,-26.96,12.96,33.483,0.0144,23.0876,,40.959538
2,17.09,-57.99,12.14,34.983,0.0358,-6.3739,,61.662693
3,15.68,-49.38,10.73,34.643,0.0471,-5.1587,,52.909164
4,0.28,-0.14,0.12,29.73,0.0938,39.4955,,0.3352611
5,35.07,-22.69,15.02,34.233,0.1558,33.6009,,44.388527
6,-29.63,-145.36,3.58,36.609,0.218,-35.8436,,148.39233
7,-28.77,-139.5,3.3,36.279,0.2215,-35.9863,,142.47404
8,5.54,-72.19,9.12,34.723,0.2306,-18.9589,,72.974396
9,41.86,-44.5,19.58,35.313,0.2336,20.338,,64.155174
10,48.88,-37.95,21.47,34.873,0.2454,28.9115,,65.50128
11,40.32,-78.34,22.28,35.663,0.2698,4.5406,,90.88045
12,28.11,-38.88,13.96,32.833,0.3125,13.1125,,49.96707
13,36.32,11.03,12.07,34.013,0.5037,80.6417,,39.830746
14,66.78,-120.32,35.95,36.553,0.2844,6.3372,,142.22824
15,37.63,-23.43,15.9,34.473,0.3324,34.5257,,47.093437
16,-30.06,-142.5,2.75,35.519,0.3922,-36.3167,,145.66199
17,43.12,-128.72,27.79,36.269,0.4386,-4.3469,,138.56572
18,30.04,-28.48,13.58,34.983,0.4097,23.4836,,43.56522
19,15.83,-106.41,15.89,35.939,0.4002,-14.7486,,108.74819
20,25.6,-51.92,14.21,34.503,0.4027,3.5056,,59.6068
21,94.25,-64.65,40.22,36.023,0.4231,32.1078,,121.16242
22,-0.59,4.29,-0.61,24.902,0.4926,-15.4609,,4.3731337
23,-6.64,-93.15,6.36,35.553,0.4884,-27.9994,,93.60268
24,37.09,-43.49,17.45,34.283,0.5133,17.5739,,59.76245
25,41.92,-59.16,20.65,34.423,0.5163,12.531,,75.38975
26,52.91,-43.71,23.07,34.713,0.5959,27.2106,,72.403435
27,21.46,5.11,7.25,33.173,0.5877,77.2569,,23.220814
28,19.6,-56.26,12.18,34.983,0.6452,-3.7108,,60.808716
29,26.06,-42.47,13.23,34.143,0.6664,8.737,,51.554413
30,-37.32,-108.33,-3.59,35.849,0.6837,-43.9672,,114.63446
31,47.8,-53.39,22.0,35.243,0.6932,18.8863,,74.962204
32,-28.66,-143.95,2.65,36.599,0.7276,-35.7222,,146.79926
33,36.28,-71.11,19.4,35.373,0.7375,4.2086,,82.1537
34,24.1,-62.78,14.23,35.053,0.7737,-1.9139,,68.735954
35,64.93,-80.54,30.41,36.463,0.7968,15.9655,,107.83026
36,32.88,-66.04,17.6,34.033,0.8218,3.6221,,75.842834
37,4.19,-5.16,1.96,30.646,0.8121,16.1456,,6.9298844
38,45.99,-44.83,20.42,35.503,0.8274,22.6417,,67.39277
39,-42.71,-92.77,-7.12,35.969,0.8389,-50.0804,,102.3773
40,57.03,-93.22,28.62,34.743,0.8352,8.6189,,112.96678
41,91.27,-133.44,44.18,37.103,0.9117,11.498,,167.5957
42,47.4,-45.26,20.88,34.85,0.8958,23.2008,,68.78374
43,56.48,-44.3,24.0,35.213,0.9335,28.5557,,75.68672
44,49.34,-96.11,25.91,36.093,0.9366,4.2981,,111.09859
45,36.48,-44.84,16.9,34.933,0.9346,16.1868,,60.224796
46,-27.87,-82.75,-2.83,35.489,0.9528,-43.6183,,87.36308
47,-44.02,-92.95,-7.73,35.283,0.9653,-50.7666,,103.13688
48,12.94,-13.49,5.77,32.313,0.9953,20.7523,,19.563145
49,-44.58,-91.71,-8.08,35.093,1.0051,-51.3941,,102.290695
50,22.39,-104.61,16.89,35.902,1.0063,-11.1742,,108.30437
51,-44.35,-91.94,-8.05,35.873,1.0583,-51.2235,,102.39477
52,-49.17,-104.47,-8.71,36.033,1.0627,-50.646,,115.79091
53,10.58,-67.72,9.48,35.157,1.0504,-14.5236,,69.19397
54,40.58,-60.86,19.58,34.923,1.0542,10.7905,,75.723526
55,27.94,-27.25,12.24,33.413,1.0614,22.5881,,40.90261
56,22.25,-40.0,11.25,34.313,1.1043,6.1776,,47.134117
57,35.89,-25.17,14.87,33.243,1.102,31.472,,46.28972
58,12.87,-23.46,6.53,33.083,1.12,5.8472,,27.54359
59,35.17,-22.71,14.38,33.483,1.1364,33.559,,44.26576
60,9.43,-32.66,5.97,33.253,1.2725,-7.0934,,34.514366
61,-8.29,-76.21,3.32,34.909,1.1759,-30.4836,,76.731415
62,24.32,-61.87,13.7,34.113,1.1968,-1.5703,,67.87525
63,-48.92,-88.95,-10.1,35.479,1.2155,-54.4873,,102.016075
64,-49.03,-72.46,-11.5,35.389,1.2425,-60.0263,,88.24195
65,37.27,-42.35,16.64,34.493,1.2471,18.2988,,58.817215
66,27.89,-48.56,13.79,34.893,1.2761,6.9201,,57.67226
67,-43.12,-92.99,-7.81,34.879,1.2968,-50.348,,102.7982
68,28.42,-49.77,14.04,34.783,1.3078,6.7719,,59.00738
69,8.65,-69.48,8.6,35.163,1.3197,-16.4769,,70.542564
70,-43.7,-93.38,-8.07,36.289,1.3659,-50.5819,,103.41489
71,-43.37,-93.93,-7.91,35.973,1.3708,-50.2703,,103.761116
72,-41.83,-93.22,-7.43,35.703,1.372,-49.6203,,102.444725
73,-0.3,-4.38,0.24,29.65,1.383,-28.0983,,4.396817
74,84.84,-17.37,31.33,35.763,1.3929,53.6313,,92.09295
75,-47.38,-88.59,-9.8,36.559,1.4163,-53.8169,,100.94103
76,52.57,-42.86,21.87,35.008,1.4517,27.4491,,71.26627
77,8.8,-52.46,7.14,34.449,1.4871,-13.9958,,53.67002
78,45.26,-44.12,19.37,33.703,1.4679,22.5361,,66.10778
79,42.68,-41.66,18.25,34.603,1.4836,22.4926,,62.37147
80,-9.47,-86.47,3.28,35.273,1.5171,-30.6286,,87.048836
81,-43.91,-87.68,-8.76,35.319,1.5149,-52.2189,,98.45104
82,28.77,-37.56,13.01,34.063,1.51,14.4174,,49.068592
83,-43.64,-93.14,-8.27,35.889,1.5351,-50.6472,,103.188675
84,48.35,-9.06,17.7,34.303,1.5556,54.5319,,52.279022
85,1.49,-77.33,6.39,34.653,1.5522,-22.8525,,77.607864
86,57.16,-91.8,27.06,35.919,1.5588,8.8878,,111.47533
