x,y,z,w,ra,dec,redshift,dist
41.8,-13.87,16.68,34.523,0.007,47.2745,,47.09394
27.98,-26.96,12.96,33.483,0.0144,23.0876,,40.959538
17.09,-57.99,12.14,34.983,0.0358,-6.3739,,61.662693
15.68,-49.38,10.73,34.643,0.0471,-5.1587,,52.909164
0.28,-0.14,0.12,29.73,0.0938,39.4955,,0.3352611
35.07,-22.69,15.02,34.233,0.1558,33.6009,,44.388527
-29.63,-145.36,3.58,36.609,0.218,-35.8436,,148.39233
-28.77,-139.5,3.3,36.279,0.2215,-35.9863,,142.47404
5.54,-72.19,9.12,34.723,0.2306,-18.9589,,72.974396
41.86,-44.5,19.58,35.313,0.2336,20.338,,64.155174
